iter	Logloss
0	0.6615221008
1	0.6350222646
2	0.6145796518
3	0.5979528051
4	0.5829734038
5	0.5704776572
6	0.5603597783
7	0.552190941
8	0.544763397
9	0.5375219211
10	0.5323477569
11	0.5263229961
12	0.5216756573
13	0.5167261921
14	0.5131476185
15	0.5099072828
16	0.5075367061
17	0.5047167711
18	0.5014509387
19	0.4983541539
20	0.4955614648
21	0.4931876549
22	0.4911522768
23	0.4896751686
24	0.4883871907
25	0.4868202488
26	0.4849512779
27	0.4833238307
28	0.4823171748
29	0.4811353967
30	0.4798647016
31	0.4784283814
32	0.4770886418
33	0.4762156812
34	0.4751523226
35	0.4743795712
36	0.473738974
37	0.4730559825
38	0.4721718458
39	0.4713094997
40	0.4707800269
41	0.4696212332
42	0.4689871635
43	0.4685087906
44	0.4676449009
45	0.4670223937
46	0.4663506204
47	0.4656074702
48	0.465103662
49	0.4648248409
50	0.464318007
51	0.4638452661
52	0.4634550263
53	0.4630780376
54	0.462668974
55	0.4620550332
56	0.4615330126
57	0.4612252378
58	0.4607890927
59	0.4601870625
60	0.4596817663
61	0.4591996314
62	0.4587350369
63	0.4582921059
64	0.4578640246
65	0.4575871263
66	0.4573735165
67	0.456816
68	0.4565781955
69	0.4559950725
70	0.4555949685
71	0.4553254142
72	0.4550710725
73	0.454553658
74	0.4542812936
75	0.4539964817
76	0.4536076231
77	0.4533643318
78	0.4530377398
79	0.4527439099
80	0.4524364885
81	0.4522382511
82	0.4518962147
83	0.4516853565
84	0.4513948225
85	0.4511524137
86	0.4509494872
87	0.4507033482
88	0.4504653303
89	0.4502359522
90	0.4499874061
91	0.449754474
92	0.4492138454
93	0.4490042878
94	0.4487040916
95	0.4484094148
96	0.4481684589
97	0.447980279
98	0.4475332889
99	0.4473095927
100	0.4470617705
101	0.4467993605
102	0.4464526782
103	0.446221162
104	0.4460446761
105	0.4458633148
106	0.4456660186
107	0.4452853986
108	0.4449102643
109	0.4446716642
110	0.4444652707
111	0.4442618231
112	0.4441082824
113	0.4439242393
114	0.4437796571
115	0.4435327448
116	0.4432904843
117	0.4431181998
118	0.4427599535
119	0.4425642317
120	0.4423315953
121	0.4420051073
122	0.4416774908
123	0.4413172535
124	0.4411115232
125	0.4409042732
126	0.4406829809
127	0.4405165717
128	0.440296796
129	0.4400884938
130	0.4398269421
131	0.4395701083
132	0.4393849416
133	0.4391407318
134	0.438946518
135	0.4387923065
