iter	Passed	Remaining
411	4237	6047
412	4245	6033
413	4252	6019
414	4260	6005
415	4267	5991
416	4276	5978
417	4283	5963
418	4291	5950
419	4300	5938
420	4307	5924
421	4315	5910
422	4324	5899
423	4331	5884
424	4341	5873
425	4348	5858
426	4356	5845
427	4364	5832
428	4373	5821
429	4383	5811
430	4394	5801
431	4405	5792
432	4413	5779
433	4422	5767
434	4429	5753
435	4441	5745
436	4448	5731
437	4458	5720
438	4465	5706
439	4474	5694
440	4481	5681
441	4490	5668
442	4497	5654
443	4506	5643
444	4513	5629
445	4522	5617
446	4529	5603
447	4538	5592
448	4546	5579
449	4555	5568
450	4563	5555
451	4573	5544
452	4581	5532
453	4590	5520
454	4598	5508
455	4608	5497
456	4626	5496
457	4634	5484
458	4643	5472
459	4651	5460
460	4658	5446
461	4665	5433
462	4674	5421
463	4681	5407
464	4688	5394
465	4695	5381
466	4704	5369
467	4712	5356
468	4720	5345
469	4728	5331
470	4737	5320
471	4744	5307
472	4752	5295
473	4759	5282
474	4768	5270
475	4775	5257
476	4784	5246
477	4792	5233
478	4800	5221
479	4808	5209
480	4817	5198
481	4825	5186
482	4836	5177
483	4843	5164
484	4853	5153
485	4861	5141
486	4870	5130
487	4877	5117
488	4885	5105
489	4896	5096
490	4903	5083
491	4912	5071
492	4919	5059
493	4927	5047
494	4936	5035
495	4944	5024
496	4951	5011
497	4959	4999
498	4966	4986
499	4974	4974
500	4982	4962
501	4989	4949
502	4998	4939
503	5006	4927
504	5015	4916
505	5023	4904
506	5033	4894
507	5042	4883
508	5050	4871
509	5058	4859
510	5065	4847
511	5073	4835
512	5080	4823
513	5087	4810
514	5096	4799
515	5104	4787
516	5113	4777
517	5120	4764
518	5129	4753
519	5136	4741
520	5146	4731
521	5154	4719
522	5163	4709
523	5170	4697
524	5178	4685
525	5186	4673
526	5194	4662
527	5201	4650
528	5211	4639
529	5221	4630
530	5228	4618
531	5237	4607
532	5247	4597
533	5256	4586
534	5263	4574
535	5271	4563
536	5278	4550
537	5286	4539
538	5294	4528
539	5303	4517
540	5310	4505
541	5319	4494
542	5326	4483
543	5335	4472
544	5342	4460
545	5350	4448
546	5360	4438
547	5367	4427
548	5375	4415
549	5382	4403
550	5391	4393
551	5398	4381
552	5407	4370
553	5414	4359
554	5424	4349
555	5432	4338
556	5440	4327
557	5449	4316
558	5459	4306
559	5467	4295
560	5474	4283
561	5483	4273
562	5491	4262
563	5499	4251
564	5507	4239
565	5515	4228
566	5523	4218
567	5532	4207
568	5539	4196
569	5548	4185
570	5558	4176
571	5566	4164
572	5574	4153
573	5582	4143
574	5591	4132
575	5599	4121
576	5608	4111
577	5617	4101
578	5624	4089
579	5633	4079
580	5640	4067
581	5650	4057
582	5657	4046
583	5668	4037
584	5677	4027
585	5687	4017
586	5696	4008
587	5706	3998
588	5717	3989
589	5725	3978
590	5733	3968
591	5741	3956
592	5750	3946
593	5758	3935
594	5765	3924
595	5772	3912
596	5782	3903
597	5789	3892
598	5798	3881
599	5805	3870
600	5814	3860
601	5821	3848
602	5830	3838
603	5839	3828
604	5849	3819
605	5857	3808
606	5866	3798
607	5876	3788
608	5884	3777
609	5893	3767
610	5900	3756
611	5909	3746
612	5915	3734
613	5924	3724
614	5931	3713
615	5939	3702
616	5946	3691
617	5954	3680
618	5963	3670
619	5970	3659
620	5978	3648
621	5986	3638
622	5994	3627
623	6001	3616
624	6010	3606
625	6017	3594
626	6025	3584
627	6032	3573
628	6041	3563
629	6048	3552
630	6057	3542
631	6064	3531
632	6074	3521
633	6083	3511
634	6093	3502
635	6102	3492
636	6110	3481
637	6118	3471
638	6125	3460
639	6133	3450
640	6141	3439
641	6148	3428
642	6156	3418
643	6163	3407
644	6173	3397
645	6180	3386
646	6188	3376
647	6195	3365
648	6204	3355
649	6212	3344
650	6220	3334
651	6228	3324
652	6236	3314
653	6244	3303
654	6251	3293
655	6258	3282
656	6266	3271
657	6274	3261
658	6282	3250
659	6292	3241
660	6301	3231
661	6310	3222
662	6320	3212
663	6329	3202
664	6340	3193
665	6348	3183
666	6357	3173
667	6366	3164
668	6375	3154
669	6386	3145
670	6396	3136
671	6405	3126
672	6419	3119
673	6430	3110
674	6439	3100
675	6448	3090
676	6459	3081
677	6470	3073
678	6479	3063
679	6489	3053
680	6512	3050
681	6523	3041
682	6535	3033
683	6546	3024
684	6557	3015
685	6568	3006
686	6580	2998
687	6589	2988
688	6600	2979
689	6609	2969
690	6617	2959
691	6626	2949
692	6634	2939
693	6642	2928
694	6649	2918
695	6657	2907
696	6665	2897
697	6674	2887
698	6682	2877
699	6690	2867
700	6699	2857
701	6710	2848
702	6717	2838
703	6726	2827
704	6733	2817
705	6740	2807
706	6747	2796
707	6756	2786
708	6764	2776
709	6773	2766
710	6782	2756
711	6791	2747
712	6800	2737
713	6812	2728
714	6821	2718
715	6829	2709
716	6838	2699
717	6847	2689
718	6856	2679
719	6866	2670
720	6877	2661
721	6891	2653
722	6901	2644
723	6911	2634
724	6921	2625
725	6929	2615
726	6942	2606
727	6949	2596
728	6959	2587
729	6968	2577
730	6978	2567
731	6987	2558
732	6995	2548
733	7007	2539
734	7016	2529
735	7026	2520
736	7035	2510
737	7045	2501
738	7055	2491
739	7063	2481
740	7072	2471
741	7080	2461
742	7090	2452
743	7099	2442
744	7138	2443
745	7153	2435
746	7160	2425
747	7169	2415
748	7176	2405
749	7187	2395
750	7194	2385
751	7205	2376
752	7214	2366
753	7223	2356
754	7234	2347
755	7243	2337
756	7254	2328
757	7263	2318
758	7272	2309
759	7283	2300
760	7295	2291
761	7304	2281
762	7320	2273
763	7332	2264
764	7341	2255
765	7352	2245
766	7360	2236
767	7370	2226
768	7382	2217
769	7390	2207
770	7400	2198
771	7408	2188
772	7418	2178
773	7426	2168
774	7435	2158
775	7443	2148
776	7451	2138
777	7459	2128
778	7467	2118
779	7476	2108
780	7484	2098
781	7493	2089
782	7501	2078
783	7510	2069
784	7519	2059
785	7531	2050
786	7542	2041
787	7551	2031
788	7561	2022
789	7569	2012
790	7580	2002
791	7589	1993
792	7596	1982
793	7604	1972
794	7612	1962
795	7620	1952
796	7629	1943
797	7638	1933
798	7646	1923
799	7656	1914
800	7665	1904
801	7675	1895
802	7684	1885
803	7694	1875
804	7702	1865
805	7710	1855
806	7719	1846
807	7731	1837
808	7749	1829
809	7762	1820
810	7776	1812
811	7788	1803
812	7800	1794
813	7812	1785
814	7824	1776
815	7835	1766
816	7847	1757
817	7860	1748
818	7873	1739
819	7883	1730
820	7894	1721
821	7905	1711
822	7917	1702
823	7927	1693
824	7940	1684
825	7952	1675
826	7973	1668
827	7986	1658
828	7997	1649
829	8008	1640
830	8019	1630
831	8029	1621
832	8041	1612
833	8053	1602
834	8064	1593
835	8075	1584
836	8087	1574
837	8100	1565
838	8114	1557
839	8125	1547
840	8138	1538
841	8153	1529
842	8169	1521
843	8183	1512
844	8197	1503
845	8207	1494
846	8220	1484
847	8234	1476
848	8250	1467
849	8264	1458
850	8276	1449
851	8287	1439
852	8298	1430
853	8312	1421
854	8323	1411
855	8335	1402
856	8347	1392
857	8361	1383
858	8375	1374
859	8387	1365
860	8404	1356
861	8418	1347
862	8432	1338
863	8445	1329
864	8459	1320
865	8472	1310
866	8483	1301
867	8494	1291
868	8506	1282
869	8519	1272
870	8531	1263
871	8542	1253
872	8553	1244
873	8564	1234
874	8575	1225
875	8588	1215
876	8602	1206
877	8614	1196
878	8627	1187
879	8639	1178
880	8652	1168
881	8664	1159
882	8678	1149
883	8689	1140
884	8701	1130
885	8712	1121
886	8724	1111
887	8736	1101
888	8746	1092
889	8760	1082
890	8774	1073
891	8791	1064
892	8805	1055
893	8821	1045
894	8833	1036
895	8843	1026
896	8856	1016
897	8866	1007
898	8875	997
899	8887	987
900	8898	977
901	8908	967
902	8919	958
903	8931	948
904	8941	938
905	8953	928
906	8964	919
907	8974	909
908	8984	899
909	8994	889
910	9006	879
911	9019	870
912	9032	860
913	9041	850
914	9054	841
915	9066	831
916	9084	822
917	9106	813
918	9122	804
919	9137	794
920	9153	785
921	9167	775
922	9180	765
923	9197	756
924	9213	747
925	9226	737
926	9242	727
927	9263	718
928	9277	709
929	9293	699
930	9308	689
931	9323	680
932	9337	670
933	9351	660
934	9367	651
935	9383	641
936	9399	631
937	9417	622
938	9435	612
939	9461	603
940	9529	597
941	9567	589
942	9586	579
943	9606	569
944	9627	560
945	9643	550
946	9661	540
947	9676	530
948	9691	520
949	9703	510
950	9715	500
951	9728	490
952	9742	480
953	9756	470
